timestamp, color, wind
0.00, #7a93b9, "NA"
0.30, #7b92b0, "Moderat"
1.00, #899db8, "Let"
1.30, #92a2b6, "Let"
2.00, #879ab2, "Let-"
2.30, #748bab, "Let+"
3.00, #6883aa, "Moderat-"
3.30, #6b85aa, "Let"
4.00, #7a8fae, "Moderat-"
4.30, #7087a8, "Let"
5.00, #617ea9, "Let-"
5.30, #5b7fb4, "Let-"
6.00, #577cb3, "Let-"
6.30, #4670ac, "Moderat"
7.00, #4a76b7, "Moderat+"
7.30, #4c77b6, "Let"
8.00, #4f79b7, "Let+"
8.30, #4d78b7, "Moderat-"
9.00, #4e78b4, "Let+"
9.30, #5982be, "Let+"
10.00, #537db8, "Moderat-"